camera,performer,head_direction,frames,duration_sec,percent_of_all_frames,frames_with_face_detected,percent_when_face_detected,total_frames,face_detected_frames
cam_bass_close,bassist,partner,0,0.0,0.0,0,0.0,4035,3107
cam_bass_close,bassist,own_instrument,0,0.0,0.0,0,0.0,4035,3107
cam_bass_close,bassist,forward,254,8.475133333333334,6.294919454770756,254,8.175088509816543,4035,3107
cam_bass_close,bassist,downward,253,8.441766666666668,6.270136307311028,253,8.14290312198262,4035,3107
cam_bass_close,bassist,unknown,3528,117.7176,87.43494423791822,2600,83.68200836820084,4035,3107
cam_guitar_close,guitarist,partner,0,0.0,0.0,0,0.0,4035,2456
cam_guitar_close,guitarist,own_instrument,0,0.0,0.0,0,0.0,4035,2456
cam_guitar_close,guitarist,forward,214,7.140466666666668,5.30359355638166,214,8.713355048859935,4035,2456
cam_guitar_close,guitarist,downward,841,28.061366666666668,20.842627013630732,841,34.24267100977199,4035,2456
cam_guitar_close,guitarist,unknown,2980,99.43266666666668,73.85377942998761,1401,57.04397394136808,4035,2456
cam_wide,bassist,partner,0,0.0,0.0,0,0.0,4035,3886
cam_wide,bassist,own_instrument,0,0.0,0.0,0,0.0,4035,3886
cam_wide,bassist,forward,902,30.096733333333336,22.3543990086741,902,23.211528564076172,4035,3886
cam_wide,bassist,downward,71,2.3690333333333333,1.7596034696406444,71,1.827071538857437,4035,3886
cam_wide,bassist,unknown,3062,102.16873333333334,75.88599752168525,2913,74.96139989706639,4035,3886
cam_wide,guitarist,partner,3,0.10010000000000001,0.07434944237918216,3,0.10402219140083217,4035,2884
cam_wide,guitarist,own_instrument,0,0.0,0.0,0,0.0,4035,2884
cam_wide,guitarist,forward,528,17.617600000000003,13.085501858736059,528,18.307905686546462,4035,2884
cam_wide,guitarist,downward,276,9.209200000000001,6.840148698884758,276,9.57004160887656,4035,2884
cam_wide,guitarist,unknown,3228,107.70760000000001,80.0,2077,72.01803051317614,4035,2884
